Short Name,Features,Custom Name
exp_0_0_0_0,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_1
exp_0_0_0_1,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_2
exp_0_0_0_2,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_3
exp_0_0_0_3,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_4
exp_0_0_0_4,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_5
exp_0_0_0_5,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_6
exp_0_0_0_6,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_7
exp_0_0_0_7,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_8
exp_0_0_0_8,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_9
exp_0_0_0_9,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_10
exp_0_0_0_10,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_11
exp_0_0_0_11,pBM3R1|r2|EGFPm|t2|ColE1,EXPRESSOR_pBM3R1_12
exp_0_0_0_12,pPhlF|r2|EGFPm|t2|ColE1,EXPRESSOR_pPhlF_1
exp_0_0_0_13,pPhlF|r2|EGFPm|t2|ColE1,EXPRESSOR_pPhlF_3
exp_0_0_0_14,pPhlF|r2|EGFPm|t2|ColE1,EXPRESSOR_pPhlF_4
exp_0_0_0_15,pPhlF|r2|EGFPm|t2|ColE1,EXPRESSOR_pPhlF_5
exp_0_0_0_16,pPhlF|r2|EGFPm|t2|ColE1,
exp_0_0_0_17,pPhlF|r2|EGFPm|t2|ColE1,
exp_0_0_0_18,pPhlF|r2|EGFPm|t2|ColE1,
exp_0_0_0_19,pPhlF|r2|EGFPm|t2|ColE1,
exp_0_0_0_20,pPhlF|r2|EGFPm|t2|ColE1,
exp_0_0_0_21,pPhlF|r2|EGFPm|t2|ColE1,
exp_0_0_0_22,pPhlF|r2|EGFPm|t2|ColE1,
exp_0_0_0_23,pPhlF|r2|EGFPm|t2|ColE1,
exp_0_0_0_24,pBetI|r2|EGFPm|t2|ColE1,EXPRESSOR_pBetI_1
exp_0_0_0_25,pBetI|r2|EGFPm|t2|ColE1,EXPRESSOR_pBetI_2
exp_0_0_0_26,pBetI|r2|EGFPm|t2|ColE1,EXPRESSOR_pBetI_3
exp_0_0_0_27,pBetI|r2|EGFPm|t2|ColE1,EXPRESSOR_pBetI_4
exp_0_0_0_28,pBetI|r2|EGFPm|t2|ColE1,EXPRESSOR_pBetI_6
exp_0_0_0_29,pBetI|r2|EGFPm|t2|ColE1,EXPRESSOR_pBetI_10
exp_0_0_0_30,pBetI|r2|EGFPm|t2|ColE1,
exp_0_0_0_31,pBetI|r2|EGFPm|t2|ColE1,
exp_0_0_0_32,pBetI|r2|EGFPm|t2|ColE1,
exp_0_0_0_33,pBetI|r2|EGFPm|t2|ColE1,
exp_0_0_0_34,pBetI|r2|EGFPm|t2|ColE1,
exp_0_0_0_35,pBetI|r2|EGFPm|t2|ColE1,
exp_0_0_0_36,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_1
exp_0_0_0_37,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_2
exp_0_0_0_38,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_3
exp_0_0_0_39,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_4
exp_0_0_0_40,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_5
exp_0_0_0_41,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_6
exp_0_0_0_42,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_7
exp_0_0_0_43,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_8
exp_0_0_0_44,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_9
exp_0_0_0_45,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_10
exp_0_0_0_46,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_11
exp_0_0_0_47,pSrpR|r2|EGFPm|t2|ColE1,EXPRESSOR_pSrpR_12
exp_0_0_0_48,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_1
exp_0_0_0_49,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_2
exp_0_0_0_50,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_4
exp_0_0_0_51,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_5
exp_0_0_0_52,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_6
exp_0_0_0_53,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_7
exp_0_0_0_54,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_8
exp_0_0_0_55,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_9
exp_0_0_0_56,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_10
exp_0_0_0_57,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_11
exp_0_0_0_58,pLtetO-1|r2|EGFPm|t2|ColE1,EXPRESSOR_pTet_12
exp_0_0_0_59,pLtetO-1|r2|EGFPm|t2|ColE1,
exp_0_0_0_60,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_1
exp_0_0_0_61,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_2
exp_0_0_0_62,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_3
exp_0_0_0_63,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_4
exp_0_0_0_64,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_5
exp_0_0_0_65,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_6
exp_0_0_0_66,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_7
exp_0_0_0_67,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_8
exp_0_0_0_68,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_9
exp_0_0_0_69,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_10
exp_0_0_0_70,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_11
exp_0_0_0_71,pLmrA|r2|EGFPm|t2|ColE1,EXPRESSOR_pLmrA_12
exp_0_0_0_72,pA1LacO|r2|EGFPm|t2|ColE1,
exp_0_0_0_73,pA1LacO|r2|EGFPm|t2|ColE1,
exp_0_0_0_74,pA1LacO|r2|EGFPm|t2|ColE1,EXPRESSOR_pLac_3
exp_0_0_0_75,pA1LacO|r2|EGFPm|t2|ColE1,
exp_0_0_0_76,pA1LacO|r2|EGFPm|t2|ColE1,EXPRESSOR_pLac_5
exp_0_0_0_77,pA1LacO|r2|EGFPm|t2|ColE1,
exp_0_0_0_78,pA1LacO|r2|EGFPm|t2|ColE1,
